_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
086.3546522015564	+08.9472505139378	086.35465220156	1.6438	+08.94725051394	1.3491	3336086473888789632							0	9.8767e+01	1.3570e+00	20.7018	0.0149	5.2960e+01	1.9426e+01	21.0415	0.3983	1.0722e+02	6.5088e+00	19.6862	0.0659	1.3553							
086.3578201353955	+08.9376832578751	086.35783166784	1.0273	+08.93767912044	0.9205	3336086473888791552	0.6628	1.2837	2.646	2.842	-0.961	2.544	0	9.2986e+01	1.4658e+00	20.7673	0.0171	3.8854e+01	7.0471e+00	21.3778	0.1969	8.6386e+01	6.2986e+00	19.9208	0.0792	1.4570							
086.3501917497050	+08.9361313416861	086.35018315483	0.0401	+08.93610531127	0.0381	3336086473889864448	1.1895	0.0506	-1.972	0.077	-6.046	0.068	0	1.6665e+04	9.7946e+00	15.1339	0.0006	7.6886e+03	3.8826e+01	15.6368	0.0055	1.3074e+04	2.1602e+01	14.4709	0.0018	1.1659			4890.05			1.01	0.527
086.3349359650312	+08.9425401232460	086.33494603736	0.0388	+08.94253139580	0.0359	3336087195444371072	0.2226	0.0460	2.311	0.080	-2.027	0.072	0	1.3672e+04	9.4856e+00	15.3488	0.0008	5.6155e+03	3.2000e+01	15.9779	0.0062	1.1688e+04	2.2103e+01	14.5926	0.0021	1.3853			4682.53				
086.3378680763261	+08.9453245112702	086.33786807633	1.6140	+08.94532451127	1.8118	3336087229803038208							0	7.1050e+01	1.4611e+00	21.0595	0.0223																
086.3304392983372	+08.9601598830232	086.33044851638	0.5049	+08.96015026884	0.4595	3336087298521209088	-0.6078	0.6129	2.115	1.327	-2.233	1.319	0	1.9714e+02	1.3225e+00	19.9514	0.0073	9.3979e+01	1.0131e+01	20.4188	0.1170	1.9705e+02	6.7800e+00	19.0255	0.0374	1.3933							
086.3256077009072	+08.9640564628672	086.32560603044	1.1854	+08.96405568517	1.0261	3336087298522513024	1.1156	1.0584	-0.383	3.079	-0.181	2.953	0	1.2041e+02	1.4828e+00	20.4867	0.0134	6.1387e+01	1.3846e+01	20.8812	0.2449	1.1470e+02	9.4894e+00	19.6130	0.0898	1.2682							
086.3436243469975	+08.9505587803854	086.34364020103	0.8594	+08.95054319751	0.8269	3336087229803035776	-0.5011	1.0264	3.637	2.188	-3.619	2.123	0	1.1824e+02	1.2833e+00	20.5065	0.0118	7.8568e+01	3.4724e+00	20.6133	0.0480	1.3993e+02	9.9527e-01	19.3971	0.0077	1.2162							
086.3454729701071	+08.9474903503179	086.34548132628	0.1426	+08.94748524768	0.1391	3336087225507092096	0.5833	0.1790	1.917	0.303	-1.185	0.277	0	1.2646e+03	2.7376e+00	17.9335	0.0024	4.7456e+02	1.1581e+01	18.6607	0.0265	1.1807e+03	1.3479e+01	17.0816	0.0124	1.5791							
086.3300257155938	+08.9463478986978	086.33002888061	0.1126	+08.94633976630	0.1043	3336087191147352576	0.1603	0.1347	0.726	0.248	-1.889	0.223	0	1.8025e+03	2.8605e+00	17.5487	0.0017	7.9665e+02	1.0859e+01	18.0982	0.0148	1.4486e+03	1.0037e+01	16.8595	0.0075	1.2387							
