_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
086.3751703017159	+08.9663443022945	086.37517625241	0.0465	+08.96633938501	0.0440	3336087981421348480	0.4120	0.0578	1.365	0.087	-1.142	0.071	0	1.1550e+04	1.1898e+01	15.5319	0.0011	6.0250e+03	1.2886e+01	15.9015	0.0023	8.2736e+03	2.7168e+01	14.9677	0.0036	0.9338			5340.33				
086.3921517744167	+08.9696414304041	086.39215864507	0.5061	+08.96962979681	0.4617	3336088088795172224	-0.2774	0.5693	1.576	1.245	-2.702	1.256	0	2.6932e+02	1.4997e+00	19.6127	0.0060	1.1182e+02	1.0029e+01	20.2301	0.0974	2.8603e+02	8.9504e+00	18.6209	0.0340	1.6092							
086.4010033960774	+08.9849712316621	086.40100339608	2.2057	+08.98497123166	1.8847	3336088123156207744							0	9.9543e+01	1.1208e+00	20.6933	0.0122	3.9258e+01	1.2312e+01	21.3666	0.3405	1.6450e+02	4.1764e+00	19.2215	0.0276	2.1450							
086.3814621031361	+08.9744694958623	086.38148778735	1.1054	+08.97446112345	0.9517	3336088088796477568	-0.0109	1.2782	5.892	3.377	-1.945	3.288	0	1.0338e+02	1.2156e+00	20.6523	0.0128	3.1324e+01	8.2876e+00	21.6117	0.2873	1.1595e+02	8.1460e+00	19.6012	0.0763	2.0105							
086.3827954203472	+08.9738997973572	086.38279542035	1.5260	+08.97389979736	1.2369	3336088088796477440							0	7.5706e+01	1.0993e+00	20.9905	0.0158	3.8399e+01	9.9849e+00	21.3906	0.2823	1.0661e+02	3.9099e+00	19.6924	0.0398	1.6982							
086.4068158450158	+08.9753991536274	086.40680836100	0.1609	+08.97539800579	0.1490	3336088050140833152	0.3040	0.1914	-1.717	0.343	-0.267	0.303	0	9.6706e+02	2.1455e+00	18.2247	0.0024	3.4835e+02	9.6270e+00	18.9963	0.0300	9.2009e+02	7.8572e+00	17.3523	0.0093	1.6440							
086.3872012841611	+08.9736227533197	086.38721099960	0.2202	+08.97361279198	0.2000	3336088084500570240	0.1222	0.2749	2.229	0.560	-2.314	0.573	0	5.9327e+02	1.7669e+00	18.7552	0.0032	2.4487e+02	1.0282e+01	19.3791	0.0456	5.9651e+02	1.0026e+01	17.8229	0.0182	1.5562							
086.3834384180334	+08.9766101059611	086.38345818541	0.1678	+08.97660265639	0.1520	3336088084500572288	0.3761	0.1899	4.535	0.348	-1.730	0.288	0	9.2684e+02	2.4813e+00	18.2709	0.0029	4.1970e+02	1.9442e+01	18.7940	0.0503	8.5542e+02	1.5302e+01	17.4315	0.0194	1.3626							
086.3973697634246	+08.9780436327864	086.39737127170	0.1251	+08.97803662017	0.1165	3336088118861419520	0.0686	0.1551	0.346	0.290	-1.629	0.298	0	1.9370e+03	2.8199e+00	17.4705	0.0016	8.8601e+02	8.3302e+00	17.9828	0.0102	1.6045e+03	9.6902e+00	16.7486	0.0066	1.2342							
086.3947260892530	+08.9828782350391	086.39472167908	0.7105	+08.98289517390	0.6520	3336088123157541248	3.6449	0.8977	-1.012	1.886	3.934	1.876	0	1.2910e+02	1.3475e+00	20.4110	0.0113	5.5959e+01	1.4026e+01	20.9817	0.2721	1.8702e+02	1.4088e+01	19.0822	0.0818	1.8995							
086.4005782004296	+08.9777733481642	086.40056727608	0.2710	+08.97777493494	0.2489	3336088118860312192	1.2724	0.3317	-2.506	0.689	0.369	0.699	0	4.5182e+02	1.6236e+00	19.0510	0.0039	1.4891e+02	4.0240e+00	19.9191	0.0293	4.8438e+02	7.4446e+00	18.0490	0.0167	1.8701							
